threshold,threshold_percent,xgboost_net_benefit,clinical_baseline_net_benefit,treat_all_net_benefit,treat_none_net_benefit,xgboost_minus_clinical,xgboost_minus_treat_all,xgboost_minus_treat_none,clinical_minus_treat_all,clinical_minus_treat_none,bootstrap_replicates,ci_type,xgboost_net_benefit_ci95_lower,xgboost_net_benefit_ci95_upper,clinical_baseline_net_benefit_ci95_lower,clinical_baseline_net_benefit_ci95_upper,treat_all_net_benefit_ci95_lower,treat_all_net_benefit_ci95_upper,xgboost_minus_clinical_ci95_lower,xgboost_minus_clinical_ci95_upper,xgboost_minus_treat_all_ci95_lower,xgboost_minus_treat_all_ci95_upper,xgboost_minus_treat_none_ci95_lower,xgboost_minus_treat_none_ci95_upper,clinical_minus_treat_all_ci95_lower,clinical_minus_treat_all_ci95_upper,clinical_minus_treat_none_ci95_lower,clinical_minus_treat_none_ci95_upper
0.055,5.5,0.03083176817597498,0.027896753256210265,-0.0033470531666835376,0.0,0.0029350149197647155,0.03417882134265852,0.03083176817597498,0.031243806422893802,0.027896753256210265,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.028720284447061838,0.03294267369029675,0.025997833009121056,0.029817039301175335,-0.006051401460787176,-0.000430639937884103,0.002316159399368669,0.0035641822001837905,0.032923797225407676,0.0354120436893806,0.028720284447061838,0.03294267369029675,0.029846440745587545,0.03260880466497373,0.025997833009121056,0.029817039301175335
0.06,6.0,0.02986638788218737,0.027174211562644483,-0.008684005577144625,0.0,0.002692176319542886,0.03855039345933199,0.02986638788218737,0.03585821713978911,0.027174211562644483,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.027802783838579453,0.03197126034376404,0.025325933837163864,0.0290567069323836,-0.011402738702599871,-0.005752079512021781,0.0020229847647495153,0.0033320787000295786,0.037273681348928604,0.039774459852070315,0.027802783838579453,0.03197126034376404,0.03437188950214061,0.037256261591431736,0.025325933837163864,0.0290567069323836
0.065,6.5,0.02932349297853493,0.026219491512794558,-0.014078037692530417,0.0,0.003104001465740372,0.04340153067106535,0.02932349297853493,0.04029752920532498,0.026219491512794558,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.02723856677961829,0.03140459752334016,0.024377321436408316,0.028045261060653935,-0.01681130949780094,-0.01113043287839622,0.002430144051059319,0.003761530356164772,0.04205982211366757,0.04466663671259706,0.02723856677961829,0.03140459752334016,0.03870598611687324,0.04179789266886835,0.024377321436408316,0.028045261060653935
0.07,7.000000000000001,0.02872659574683211,0.025399551406033796,-0.019530070153242964,0.0,0.0033270443407983144,0.048256665900075074,0.02872659574683211,0.04492962155927676,0.025399551406033796,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.026682182226943407,0.03079602498597472,0.023557944030588827,0.027181403187804775,-0.022278036968219235,-0.016566618001398376,0.002633042720715377,0.004043381165696519,0.04687043439744347,0.04954775838436599,0.026682182226943407,0.03079602498597472,0.043290459063465944,0.04653517507465841,0.023557944030588827,0.027181403187804775
0.075,7.5,0.0281350746037621,0.02442787455866391,-0.025041043505422626,0.0,0.00370720004509819,0.053176118109184725,0.0281350746037621,0.049468918064086535,0.02442787455866391,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.0261059345292455,0.030126112311898268,0.022624137002829527,0.026153821585751223,-0.02780386419507445,-0.022061572693297806,0.002955495681553691,0.004478021470537553,0.051748305268747366,0.05450119086836563,0.0261059345292455,0.030126112311898268,0.047751582139277535,0.05111683083757388,0.022624137002829527,0.026153821585751223
0.08,8.0,0.027434172332718595,0.023684059903678976,-0.030611918741865148,0.0,0.0037501124290396197,0.05804609107458374,0.027434172332718595,0.05429597864554413,0.023684059903678976,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.025433962864339014,0.029416566380190176,0.021888513566379712,0.025421247980765116,-0.03338975476135204,-0.027616255153587465,0.0029588969878717917,0.004529708047677977,0.05658487992352254,0.059404083721064836,0.025433962864339014,0.029416566380190176,0.052543499084870285,0.05599569031934404,0.021888513566379712,0.025421247980765116
0.085,8.5,0.026929835452710348,0.02277880684646921,-0.03624367786067317,0.0,0.004151028606241138,0.06317351331338351,0.026929835452710348,0.05902248470714237,0.02277880684646921,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.0249331037477169,0.02888972652623716,0.02098023748516923,0.02452097649839234,-0.039036693311960524,-0.03323164452601144,0.0033576740698594803,0.004897066438727633,0.061698371593357136,0.06454330289029503,0.0249331037477169,0.02888972652623716,0.057230070701247034,0.060738180903283936,0.02098023748516923,0.02452097649839234
0.09,9.0,0.026501870016256847,0.021947586188238596,-0.04193732444232521,0.0,0.0045542838280182504,0.06843919445858206,0.026501870016256847,0.06388491063056381,0.021947586188238596,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.02453796755956166,0.028429576496180744,0.02009744610727572,0.023781381714164104,-0.0447456861323559,-0.03890874147395656,0.0037365923928827744,0.005377297902993747,0.06694882220735147,0.0698481051830571,0.02453796755956166,0.028429576496180744,0.06208208858791526,0.065634192037711,0.02009744610727572,0.023781381714164104
0.095,9.5,0.02606237480366012,0.021171127899829893,-0.04769388424587396,0.0,0.004891246903830228,0.07375625904953408,0.02606237480366012,0.06886501214570385,0.021171127899829893,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.024084509132318844,0.027986168522819918,0.019382038040747337,0.02293860816718449,-0.05051776174634682,-0.04464856877491765,0.004062007099067198,0.005687398222708879,0.07224330148976181,0.07518427076412018,0.024084509132318844,0.027986168522819918,0.06705367921695778,0.07064492145868621,0.019382038040747337,0.02293860816718449
0.1,10.0,0.02551959560730141,0.020542571601708904,-0.05351440582501773,0.0,0.004977024005592506,0.07903400143231915,0.02551959560730141,0.07405697742672664,0.020542571601708904,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.023558588514862096,0.02742650961738513,0.018755943153852817,0.02231168266139133,-0.05635397153382653,-0.050452171934778314,0.004140590007681714,0.0058051419860500044,0.07746398127132047,0.08049703031315619,0.023558588514862096,0.02742650961738513,0.07222338352857126,0.07583053601783005,0.018755943153852817,0.02231168266139133
0.105,10.5,0.025101316737932942,0.01981233993980261,-0.059399961164822275,0.0,0.0052889767981303334,0.08450127790275522,0.025101316737932942,0.07921230110462488,0.01981233993980261,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.023177733462984212,0.026981872170762488,0.018087087020492623,0.021503075362563764,-0.062255390369211044,-0.05632061982268209,0.004406446987153128,0.006137018668664448,0.08291718993880476,0.08600642219073915,0.023177733462984212,0.026981872170762488,0.07738797718034485,0.08108502895836509,0.018087087020492623,0.021503075362563764
0.11,11.0,0.024633387370264784,0.018919457310151815,-0.06535164633990556,0.0,0.005713930060112969,0.08998503371017035,0.024633387370264784,0.08427110365005738,0.018919457310151815,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.022718860579824335,0.02652274290611443,0.017221204705219408,0.020582801659461573,-0.06822311728139761,-0.0622550053273039,0.004829375016270492,0.006614586712020399,0.08831891673075166,0.0915217387109616,0.022718860579824335,0.02652274290611443,0.08234699057371538,0.08616851820454664,0.017221204705219408,0.020582801659461573
0.115,11.5,0.024157079745814387,0.018243088632014175,-0.07137058219493328,0.0,0.005913991113800213,0.09552766194074766,0.024157079745814387,0.08961367082694746,0.018243088632014175,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.02227787815053608,0.02597110783842558,0.016590949311953918,0.019866820275571503,-0.07425827613609479,-0.06825644603536778,0.0050497795031916705,0.006799752143296754,0.09383160270743826,0.09711481946976791,0.02227787815053608,0.02597110783842558,0.08760227202295684,0.09153879781638435,0.016590949311953918,0.019866820275571503
0.12,12.0,0.023724706675929942,0.017515515207467816,-0.07745791504831359,0.0,0.006209191468462126,0.10118262172424353,0.023724706675929942,0.09497343025578141,0.017515515207467816,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.021813897402041347,0.025533275886061465,0.015847144574159942,0.01912391169772639,-0.08036201634141349,-0.07432608493329598,0.00536836158803753,0.007099320616037386,0.09945998893462137,0.10280025760275466,0.021813897402041347,0.025533275886061465,0.09289924724610883,0.09690699513984086,0.015847144574159942,0.01912391169772639
0.125,12.5,0.02331494222554386,0.016893929957478196,-0.08361481742001822,0.0,0.006421012268065664,0.10692975964556209,0.02331494222554386,0.10050874737749642,0.016893929957478196,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.0214381349576041,0.0251261279691119,0.015239898561953355,0.01852521955250063,-0.08653551357765014,-0.08046509113291482,0.005555461343158673,0.007299639078876535,0.10515930056718736,0.10860706854736817,0.0214381349576041,0.0251261279691119,0.09843989234961886,0.10249805779451669,0.015239898561953355,0.01852521955250063
0.13,13.0,0.022858414016735457,0.016251051099913788,-0.0898424887845011,0.0,0.006607362916821669,0.11270090280123655,0.022858414016735457,0.10609353988441489,0.016251051099913788,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.020918604676694187,0.024697965015054106,0.01461032034504262,0.017821074094240823,-0.09277997055223433,-0.08667466062218447,0.005694606833864781,0.007543460992978689,0.11092412449582653,0.1143900063158678,0.020918604676694187,0.024697965015054106,0.10397642142195111,0.10811304174519872,0.01461032034504262,0.017821074094240823
0.135,13.5,0.02237536074667087,0.01563364869235848,-0.09614215634972945,0.0,0.006741712054312392,0.11851751709640032,0.02237536074667087,0.11177580504208792,0.01563364869235848,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.020472865200280275,0.024185503676354518,0.01401767520976543,0.017202654396203432,-0.09909661778086,-0.09295601704196586,0.005892806615223963,0.007614130267729754,0.1167134963022418,0.12026031030006265,0.020472865200280275,0.024185503676354518,0.10968445803199821,0.1137760828792663,0.01401767520976543,0.017202654396203432
0.14,14.000000000000002,0.02196123991248107,0.015041868894161016,-0.10251507586339068,0.0,0.006919371018320054,0.12447631577587175,0.02196123991248107,0.11755694475755168,0.015041868894161016,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.020043046454529753,0.023811895835932767,0.013487980225879737,0.01659313253310585,-0.10548671439586502,-0.09931041248988429,0.006034586379594545,0.007816037414038758,0.12264777892703145,0.12622913714695985,0.020043046454529753,0.023811895835932767,0.11535278249920428,0.11959389225465715,0.013487980225879737,0.01659313253310585
0.145,14.499999999999998,0.021570370050433114,0.01434488696766564,-0.10896253244738707,0.0,0.007225483082767475,0.13053290249782018,0.021570370050433114,0.12330741941505272,0.01434488696766564,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.019711448970014745,0.023358710606403,0.012768841497395286,0.015939363245794983,-0.11195154898297528,-0.10573912835239822,0.006307523525433673,0.008161988974603867,0.12863644328867138,0.13232832596599783,0.019711448970014745,0.023358710606403,0.1211077987320182,0.12537319630331553,0.012768841497395286,0.015939363245794983
0.15,15.0,0.021182746063496953,0.01391063682999999,-0.11548584146178348,0.0,0.007272109233496964,0.13666858752528044,0.021182746063496953,0.12939647829178347,0.01391063682999999,2000,pointwise_percentile_95_not_multiplicity_adjusted,0.01936964299231711,0.022926439056796366,0.012345792013758312,0.015487713625593546,-0.11849244044758103,-0.11224347616623585,0.0063821121837976495,0.00817909292108994,0.13472551712383926,0.1385016402534717,0.01936964299231711,0.022926439056796366,0.12715796894882306,0.13151952468478248,0.012345792013758312,0.015487713625593546
